# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr11_19013189_19016384	Meis1 (+4182)
chr2_172788941_172790019	Bmp7 (+150841), Tfap2c (+238489)
chr17_83920344_83920701	Haao (-73733), Zfp36l2 (+267424)
chr19_37716747_37717336	Cyp26a1 (+19234), Myof (+326535)
chr15_102838362_102838664	Calcoco1 (-116335), Hoxc13 (-82590)
chr2_174324504_174324986	Nelfcd (-91059), Gnas (+26886)
chr4_76134284_76134703	Tmem261 (-856189), Ptprd (+459805)
chr17_87532148_87533518	Epcam (-103146), Calm2 (-85898)
chr19_44741167_44741700	Pax2 (-14611), Hif1an (+178584)
chr1_182686121_182687072	Ccdc185 (+62583), Capn8 (+121585)
chr18_3566289_3567461	Lyzl1 (-598957), Bambi (+58918)
chr18_3867122_3868439	Lyzl1 (-298051), Bambi (+359824)
chr3_9710976_9712118	Zfp704 (-101462), Pag1 (+122132)
chr19_46499832_46500414	Trim8 (-1525)
chr1_186455123_186455862	Lyplal1 (-338183), Tgfb2 (+250207)
chr1_189921730_189922029	Smyd2 (+483)
chr4_105196551_105197677	Gm12728 (-592755), Plpp3 (+39767)
chr4_106091527_106093241	Usp24 (-223850), Gm12728 (+302515)
chr1_194294926_194295921	Camk1g (-925126), Plxna2 (-324401)
chr1_194593212_194593524	Plxna2 (-26457)
chr18_15084359_15085913	Kctd1 (-21554), Aqp4 (+318548)
chr16_23108203_23108269	Eif4a2 (+477)
chr19_56105678_56106277	Habp2 (-181944), Tcf7l2 (+364168)
chr4_120589563_120590521	Cited4 (-76530), Gm8439 (+1297)
chr16_25690560_25691238	Trp63 (+7134), P3h2 (+414885)
chr19_57269735_57270471	Fam160b1 (-90906), Ablim1 (-54071)
chr3_37935903_37936334	Gm5148 (-211790), Ankrd50 (+548725)
chr2_18056525_18057070	Mllt10 (+1561), Dnajc1 (+336032)
chr4_123311639_123312484	Oxct2a (+11572), Pabpc4 (+29151)
chr3_39838360_39839022	Intu (-702076), Fat4 (+951751)
chr5_134313576_134314029	Gtf2i (+957)
chr4_126600676_126601041	5730409E04Rik (-8959), Clspn (+43924)
chr3_50427414_50427997	Pcdh18 (-670390), Slc7a11 (+15905)
chr2_29582702_29582854	Rapgef1 (-36942), Med27 (+235959)
chr2_29776852_29777406	Coq4 (-11130), Gm13547 (+15601)
chr16_32246883_32247270	Wdr53 (-176), Fbxo45 (+81)
chr2_31509184_31510708	Fubp3 (-62871), Ass1 (+39739)
chr1_16532911_16534352	Stau2 (-14326), Ube2w (+85857)
chr4_129742422_129743124	Khdrbs1 (-477)
chr3_55538955_55539973	Mab21l1 (-243046), Dclk1 (+296938)
chr4_131391115_131391695	Ptpru (+446826), Matn1 (+447020)
chr5_138999352_138999733	Pdgfa (-4506)
chr18_54118971_54119390	Csnk1g3 (+257068), Zfp608 (+870999)
chr7_6706261_6706761	Zim1 (-10061), Peg3 (+23910)
chr3_84186068_84186233	Gm6525 (+12047), Trim2 (+84640)
chr3_84191011_84192610	Gm6525 (+17707), Trim2 (+78980)
chr4_134019055_134020274	Lin28a (-824)
chr2_49809911_49810780	Lypd6 (-256118), Lypd6b (+22658)
chr8_61063395_61064452	Sh3rf1 (-159948), Nek1 (+70659)
chr4_135570106_135570556	Grhl3 (+3299), Stpg1 (+74344)
chr4_135590415_135591703	Ifnlr1 (-95228), Grhl3 (-17429)
chr18_56707331_56707859	Lmnb1 (-218)
chr3_89280734_89281464	Efna1 (-1454)
chr3_89394664_89395275	Zbtb7b (-7299), Lenep (+7823)
chr5_148443602_148444367	Slc7a1 (-44081), Ubl3 (+108677)
chr8_70698854_70699195	Gm16486 (-4432), Jund (+76)
chr18_62923194_62924691	Napg (-53893), Apcdd1 (+1616)
chr5_149051790_149052191	Katnal1 (-123344), Hmgb1 (+1049)
chr9_109094944_109095644	Plxnb1 (-95)
chr4_140814134_140814269	Padi3 (-3554)
chr4_141326801_141327760	Fam131c (-40939), Epha2 (+26041)
chr1_66220024_66220380	Map2 (-101517), Crygf (+293682)
chr4_142251292_142251872	Kazn (-12181), Prdm2 (+961123)
chr3_103151551_103152217	Bcas2 (-19771), Dennd2c (+24328)
chr9_120802017_120802408	Ctnnb1 (-131187), Rpl14 (+230769)
chr9_120884512_120885816	Ctnnb1 (-48236), Rpl14 (+313720)
chr7_28803949_28804679	Hnrnpl (-4227)
chr1_73089968_73090224	Tnp1 (-74187)
chr8_92252889_92253617	Irx3 (-451338), Irx5 (-104496)
chr1_73307241_73308091	Tnp1 (-291757), Tns1 (+816781)
chr1_74808074_74808578	Cdk5r2 (-46608), Wnt10a (+16810)
chr7_34655011_34655327	Kctd15 (+340)
chr8_92408277_92408822	Irx6 (-265738), Irx5 (+50801)
chr8_94899599_94899691	Dok4 (-23315), Ccdc102a (+18453)
chr5_20843739_20845021	Phtf2 (+37744)
chr2_102137912_102138867	Ldlrad3 (+47995), Commd9 (+252137)
chr1_86441364_86441873	Ptma (-85107), Tex44 (+15290)
chr2_102447622_102448774	Trim44 (-47298), Fjx1 (+4301)
chr3_131177548_131178523	Lef1 (+67565), Hadh (+94065)
chr1_86442201_86442290	Ptma (-84480), Tex44 (+15917)
chr7_45216435_45216998	Dkkl1 (-4594), Tead2 (+865)
chr2_118544289_118545050	Srp14 (-64959), Bmf (+5017)
chr8_114217098_114217812	Clec3a (-200631), Vat1l (+11825)
chr5_33438218_33438613	Nkx1-1 (-4440)
chr8_116226958_116227669	Maf (-519520), Dynlrb2 (-277701)
chr8_116434887_116435559	Maf (-727429), Dynlrb2 (-69792)
chr5_35759078_35759795	Afap1 (-133882), Ablim2 (+1386)
chr5_38297657_38298683	Drd5 (-21197), Otop1 (+20766)
chr1_90110618_90110901	Asb18 (-96183), Iqca (+42641)
chr3_152819948_152820549	Pigk (+106136), St6galnac5 (+161997)
chr6_52191056_52191146	Hoxa4 (+652)
chr8_120549898_120550308	Gins2 (+39201), Gse1 (+61656)
chr2_128702582_128703344	Tmem87b (-115155), Mertk (+4007)
chr5_64710125_64710633	Klf3 (-93009), Tbc1d1 (+550928)
chr7_70505849_70506143	Nr2f2 (-145403), Gm10295 (+845489)
chr8_123753963_123754467	Rab4a (-51770), Rhou (+100286)
chr5_65028448_65028825	Fam114a1 (+58566), Tmem156 (+62947)
chr7_70706298_70707288	Nr2f2 (-346200), Gm10295 (+644692)
chr6_60739532_60740699	Snca (+88888)
chr7_71746530_71746800	Gm10295 (-395180), Mctp2 (+559943)
chr8_125434556_125435176	Sipa1l2 (+134942), Disc1 (+380671)
chr1_119048514_119048932	Gli2 (+4896), Tfcp2l1 (+420777)
chr1_119048969_119049217	Gli2 (+4526), Tfcp2l1 (+421147)
chr1_119577313_119578072	Tmem185b (+51533), Epb41l5 (+71243)
chr7_80031645_80032200	Zfp710 (+7109), Idh2 (+83469)
chr2_148532747_148533704	Nxt1 (-139375), Cd93 (-89663)
chr2_156726076_156727027	Myl9 (-48868), Dlgap4 (+112847)
chr6_72709163_72709376	Tgoln1 (-92270), Tcf7l1 (+79682)
chr4_44023733_44024529	Clta (+11453), Gne (+60046)
chr2_158402066_158402734	Ralgapb (-7551), Snhg11 (+26762)
chr4_44026016_44026307	Clta (+13484), Gne (+58015)
chr7_99534793_99535006	Arrb1 (-566)
chr6_88974359_88974961	Tpra1 (+72409), Plxna1 (+387960)
chr2_165275048_165276108	Cdh22 (-40725), Slc35c2 (+12291)
chr7_108967945_108968430	Tub (-42637), Eif3f (+33771)
chr2_167061144_167061888	Znfx1 (+1499), Ddx27 (+46323)
chr7_110114603_110115162	Wee1 (-7163), Zfp143 (+53666)
chr6_91683812_91684149	Slc6a6 (-72)
chr6_97318552_97319248	Lmod3 (-66141), Frmd4b (+168905)
chr7_116032326_116033153	Sox6 (-37654), Gm4353 (+51895)
chr6_101260555_101261285	Pdzrn3 (+116977), Ppp4r2 (+427298)
chr5_112718591_112719156	Sez6l (-141899), Myo18b (+177488)
chr7_126007548_126007796	Gsg1l (+74739), D430042O09Rik (+299757)
chr9_41985054_41985607	Ubash3b (-827269), Sorl1 (+138966)
chr7_127026794_127027001	Maz (-446)
chr5_115394235_115394782	Cox6a1 (-45528), Msi1 (-35090)
chr6_114916333_114918040	Vgll4 (+4634), Atg7 (+274075)
chr5_115438043_115438886	Pla2g1b (-27801), Msi1 (+8866)
chr9_44498416_44499200	Bcl9l (+11561), Cxcr5 (+63069)
chr10_45813027_45813175	Hace1 (+235272)
chr9_54769481_54770339	Ireb2 (-93879), Crabp1 (+5162)
chr8_8110668_8110897	Efnb2 (+550459)
chr10_60813548_60814597	Slc29a3 (-61291), Unc5b (+17508)
chr6_127659462_127660705	Cracr2a (+82109), Prmt8 (+109388)
chr9_61251569_61251938	Tle3 (-121631), Uaca (+457206)
chr10_75124459_75125489	Specc1l (-87416), Bcr (+64382)
chr10_76963669_76964531	Pcbp3 (-2312)
chr6_131420352_131421354	Gm6619 (-65547), Ybx3 (-32415)
chr6_134669468_134670314	Borcs5 (+30381), Dusp16 (+122734)
chr6_135374983_135376677	Emp1 (+13285), Grin2b (+797295)
chr8_26833333_26834364	Zfp703 (-143505), Thap1 (+675708)
chr9_66748138_66748920	Car12 (+34843), Aph1b (+46961)
chr9_72661997_72662545	Nedd4 (-75)
chr10_111080118_111081147	Osbpl8 (-84119), Zdhhc17 (-70567)
chr10_126005126_126005612	Lrig3 (+39116), Atp23 (+895979)
chr10_126935825_126936043	Ctdsp2 (-42783), Atp23 (-34586)
chr11_5411624_5411884	Kremen1 (-150196), Znrf3 (+33093)
chr11_6531678_6532022	Ccm2 (-15037), Myo1g (-10892)
chr11_21431063_21431707	Ugp2 (-60908), Mdh1 (+140808)
chr11_22621828_22622075	Tmem17 (+109864), B3gnt2 (+238149)
chr11_31755957_31756071	Cpeb4 (-116197), Bod1 (-84129)
chr11_31756124_31756221	Cpeb4 (-116038), Bod1 (-84288)
chr11_51808716_51808934	Sar1b (+45138), Jade2 (+48828)
chr11_52643827_52644735	Fstl4 (-120353), 9530068E07Rik (+247853)
chr11_55472936_55472991	G3bp1 (+3279), Glra1 (+134857)
chr11_63907938_63908196	Hs3st3b1 (+14223), Pmp22 (+779085)
chr11_72501545_72501769	Spns2 (-11753), Spns3 (+48849)
chr11_76382779_76383338	Glod4 (-139334), Nxn (+16081)
chr11_78829264_78829688	Nos2 (-91311), Lyrm9 (+2892)
chr11_84073080_84073454	Dusp14 (-4466)
chr11_87426616_87427277	Gm11492 (-139706), Tex14 (+21882)
chr11_89824093_89824711	Ankfn1 (-405454), Pctp (+178492)
chr11_93601945_93602072	Utp18 (+283757), Car10 (+502719)
chr11_95707509_95708212	Zfp652 (-4812)
chr11_96764697_96764932	Snx11 (+12716), Skap1 (+300222)
chr11_101658299_101659257	Arl4d (-6763), Rdm1 (+30836)
chr11_102407520_102407657	Slc25a39 (-45)
chr11_113494011_113494255	Slc39a11 (+71626), Sox9 (+711909)
chr11_119820728_119821522	Chmp6 (-92685), Rptor (+217976)
chr11_120074796_120075392	Aatk (-28024), Cep131 (+11733)
chr11_120969916_120970845	Csnk1d (+20949), Slc16a3 (+21300)
chr11_121280663_121281425	Foxk2 (+21054), Wdr45b (+73401)
chr11_121858493_121859979	Ptchd3 (+28989)
chr12_4805340_4805738	Sf3b6 (-12005), Pfn4 (+36200)
chr12_7453740_7454129	Apob (-523713)
chr12_12243101_12243490	Fam49a (-18843), Rad51ap2 (+787217)
chr12_16845361_16845784	Rock2 (-49322), E2f6 (+34596)
chr12_18026635_18026928	5730507C01Rik (-487728), Hpcal1 (+335926)
chr12_59130751_59131381	Ctage5 (+1303), Fbxo33 (+88659)
chr12_80565920_80566900	Galnt16 (+48133), Erh (+77422)
chr12_81278675_81278820	Slc8a3 (+54432), Smoc1 (+251940)
chr12_81459870_81460226	Adam4 (-38102), Cox16 (+25072)
chr12_86509615_86509670	Vash1 (-169057), Esrrb (+87999)
chr12_88653872_88654056	Nrxn3 (-140540), Adck1 (+293316)
chr12_98717642_98718402	Ptpn21 (+16623), Spata7 (+89865)
chr12_104426697_104427368	Serpina3n (+20304), Gsc (+46297)
chr13_9768622_9769157	Zmynd11 (-4402)
chr13_16825549_16825926	Inhba (+813887), Sugct (+869001)
chr13_22020918_22021663	Prss16 (-11550), Hist1h2ah (+14277)
chr13_23412313_23412968	Zfp322a (-43433), Abt1 (+11225)
chr13_37543473_37543997	Rreb1 (-282580), Ly86 (+198527)
chr13_45141895_45142230	Mylip (-247679), Gm9817 (+63371)
chr13_51854164_51854621	Gadd45g (+7715), Diras2 (+676886)
chr13_52738388_52738799	Syk (+155421), Auh (+191067)
chr13_61585057_61585402	Zfp808 (-544686), Cts3 (-15103)
chr13_63240159_63240699	Fbp1 (-352147), Fancc (+191296)
chr13_66301981_66302205	Gm10772 (-74520), 2410141K09Rik (+138985)
chr13_69770884_69771496	Med10 (-38651), Ube2ql1 (-31301)
chr13_75992211_75992760	Spata9 (+24747), Rfesd (+26076)
chr13_91223788_91223932	Atg10 (+108)
chr14_28972936_28973118	Lrtm1 (-45181), Wnt5a (+468277)
chr13_95565038_95566141	F2rl1 (-40363), F2r (+52897)
chr14_30255747_30255943	Dcp1a (-223767), Chdh (+246822)
chr14_31772186_31772508	Ankrd28 (+58068), Btd (+131290)
chr13_104816871_104816934	Srek1ip1 (-274), Cwc27 (+50)
chr14_46604231_46604780	Bmp4 (-213837), Cdkn3 (-156035)
chr14_47364964_47365622	Lgals3 (-8520), Mapk1ip1l (+56728)
chr14_48167684_48168518	Tmem260 (-278281), Peli2 (+47232)
chr13_111874198_111874654	Ankrd55 (-414394), Map3k1 (-65433)
chr14_51771546_51772144	Gm5800 (-54662), Ang4 (+1745)
chr13_111980188_111980631	Ankrd55 (-308410), Map3k1 (-171417)
chr14_13739842_13740490	Sntn (+69290), Gm281 (+174312)
chr14_13968315_13968833	Atxn7 (-43917), Thoc7 (-7297)
chr14_22102148_22102514	Lrmda (+82619)
chr14_70580681_70580934	Nudt18 (+2961), Fam160b2 (+19027)
chr14_72857016_72857086	Fndc3a (-147048), Cysltr2 (+192063)
chr14_73355419_73356067	Rb1 (-29921), Itm2b (+29528)
chr16_43823257_43823319	Drd3 (+61067), Qtrt2 (+66397)
chr16_57550636_57551197	Cmss1 (+55908), Filip1l (+197824)
chr16_76912124_76912722	Nrip1 (-538596), Usp25 (-101646)
chr14_101787784_101788257	Lmo7 (+58064)
chr14_112366124_112366707	Tpm3-rs7 (-948192), Slitrk5 (+691301)
chr14_122726896_122727769	Ggact (+185829), Pcca (+192994)
chr16_91840568_91841329	Atp5o (+90738), Itsn1 (+111596)
chr16_94718566_94719556	Dyrk1a (+149051), Kcnj6 (+278635)
chr16_97686461_97687334	Tmprss2 (-75703), Ripk4 (+76839)
chr15_13117895_13118037	Cdh6 (+55673), Drosha (+293151)
chr17_7870652_7870784	Fndc1 (-65744), Tagap (-55282)
chr17_8508353_8509051	Gm17087 (+58167), T (+74279)
chr15_27797400_27797894	Fam105a (-116105), Trio (+228201)
chr15_31326764_31327178	Ankrd33b (+40755), Dap (+102657)
chr18_73533387_73533537	Mex3c (-39582)
chr18_75170882_75171432	Smad7 (-196372), Dym (+152385)
chr17_27200325_27201091	Ip6k3 (-32944), Lemd2 (+3730)
chr17_28028244_28028753	Tcp11 (+52085), Anks1 (+119127)
chr18_81085635_81086120	Sall3 (-99300)
chr18_83023475_83023702	Zfp516 (+112710)
chr19_3159337_3160606	Mrpl21 (-122929)
chr15_80096711_80097081	Tab1 (-36258), Syngr1 (+5552)
chr15_80097212_80097334	Tab1 (-35881), Syngr1 (+5929)
chr15_81350541_81350736	Slc25a17 (+10126), Mchr1 (+115140)
chr15_83398497_83399192	Arfgap3 (-48598), Pacsin2 (+34005)
chr17_44965847_44966423	Runx2 (-151338), Cdc5l (+467572)
chr17_46003245_46003924	1600014C23Rik (-269741), Vegfa (+28784)
chr15_83804754_83805153	Mpped1 (+20125), Efcab6 (+260395)
chr15_84978535_84979183	5031439G07Rik (+9112), Nup50 (+55431)
chr1_137042338_137042608	Nr5a2 (-82025)
chr1_137932278_137932925	Nr5a2 (-972154), Ptprc (+242665)
chr1_151952742_151953304	1700025G04Rik (+137102), Edem3 (+197649)
chr19_16135080_16135454	Gna14 (-300400), Gnaq (+2436)
chr15_94591490_94591567	Twf1 (-1650)
chr2_169052727_169052852	Zfp64 (-97518), Gm11011 (+534955)
chr17_69540565_69540728	Dlgap1 (-884147), Akain1 (+101321)
chr1_156915928_156916486	Ralgps2 (+23180), Angptl1 (+77645)
chr1_170406715_170407260	Spata46 (+98185), Nos1ap (+182873)
chr17_83181872_83182487	Pkdcc (-33112), Gm6594 (+642922)
chr15_102458850_102459258	Prr13 (-178)
chr1_172629352_172629885	Fcrl6 (-27068), Dusp23 (+3343)
chr19_34954031_34954281	Kif20b (+31795)
chr17_84318318_84318506	Zfp36l2 (-130465), Thada (+147784)
chr2_174603135_174603560	Prelid3b (-130267), Zfp831 (-40186)
chr15_103294302_103294458	Gpr84 (+16058), Copz1 (+21469)
chr2_174661185_174661931	Edn3 (-99061), Zfp831 (+18024)
chr19_42598718_42599389	Loxl4 (+13759), R3hcc1l (+80295)
chr16_5254419_5255117	Eef2kmt (+1215), Alg1 (+21147)
chr19_43897449_43897736	Dnmbp (+42598), Abcc2 (+115401)
chr3_6183515_6183769	Pex2 (-607492), 1700008P02Rik (+436801)
chr18_3653912_3654258	Lyzl1 (-511747), Bambi (+146128)
chr19_45749564_45749702	Npm3 (-42)
chr1_185363101_185363928	Eprs (+471)
chr1_185364113_185364289	Slc30a10 (-90647), Eprs (+1157)
chr19_46059071_46059892	Nolc1 (-16381), Pprc1 (+2943)
chr4_100912018_100912312	Gm10577 (+108531), Cachd1 (+135490)
chr4_101066573_101066755	Raver2 (-2319)
chr4_106816047_106816653	Ssbp3 (-95120), Acot11 (-11352)
chr4_106848718_106848955	Ssbp3 (-62633), Acot11 (-43839)
chr3_29381545_29381970	Egfem1 (+299025), Mecom (+631398)
chr2_5975022_5975494	Upf2 (+23789), Proser2 (+154953)
chr16_18248602_18248921	Trmt2a (-121), Ranbp1 (-30)
chr5_118778230_118778653	Tbx3 (-892576), Med13l (+217703)
chr3_30999618_31000202	Skil (-95151), Prkci (+4163)
chr18_20624235_20624629	Ttr (-40818), Dsg2 (+66358)
chr5_122473964_122474559	Atp2a2 (+27963), Anapc7 (+52569)
chr4_119408339_119408854	Ppih (-88098), Ccdc30 (+6924)
chr19_54295605_54295997	Adra2a (+250619), Gpam (+803650)
chr4_119415302_119415837	Ccdc30 (-49)
chr5_123676636_123677252	Vps33a (-103906), Clip1 (+7674)
chr18_33154150_33154858	Stard4 (+59358), Camk4 (+215463)
chr4_120602808_120603094	Cited4 (-63621), Gm8439 (+14206)
chr18_33932404_33933071	Epb41l4a (+74468), Gm10549 (+468575)
chr4_120649484_120650074	Cited4 (-16793), Gm8439 (+61034)
chr5_129966487_129966787	Vkorc1l1 (+24667), Gusb (+36412)
chr5_131656640_131657143	Auts2 (-179868)
chr3_41563433_41563670	Jade1 (+183)
chr18_35966112_35966624	Psd2 (+1538), Nrg2 (+231012)
chr16_29644125_29644309	Hes1 (-421123), Opa1 (+64837)
chr18_36121808_36122222	Nrg2 (+75365), Psd2 (+157185)
chr16_29667340_29667668	Hes1 (-397836), Opa1 (+88124)
chr18_37821240_37821851	Pcdhgc5 (+2033), Diaph1 (+113835)
chr6_148944839_148945663	Fam60a (-1716)
chr5_136462475_136463073	Sh2b2 (-217871), Cux1 (+104472)
chr5_136679084_136679281	Cux1 (-111937), Myl10 (-13995)
chr3_53463421_53463885	Nhlrc3 (-321), Proser1 (-13)
chr4_130576692_130576837	Nkain1 (-2592)
chr3_60172817_60173405	Mbnl1 (-328068), Sucnr1 (+91242)
chr18_44317479_44317847	Myot (-16411), Npy6r (+47536)
chr4_131896198_131896599	Tmem200b (-25372), Srsf4 (+22782)
chr4_132269780_132270306	Taf12 (-4332)
chr18_54906747_54907206	Zfp608 (+83203)
chr5_145962974_145963762	Cyp3a11 (-83404), Cyp3a25 (+46249)
chr3_85969739_85970372	Glt28d2 (-82540), Prss48 (+32435)
chr8_61221042_61222116	Sh3rf1 (-2293)
chr1_51644903_51645280	Nabp1 (-166693), Myo1b (+270836)
chr3_87150550_87151201	Cd1d1 (-151435), Kirrel (+23871)
chr18_56696889_56697002	Lmnb1 (-10867), Tex43 (+108596)
chr1_54853271_54853993	Pgap1 (-295950), Ankrd44 (+72755)
chr7_16400262_16400863	Zc3h4 (-644)
chr4_139309793_139310553	Akr7a5 (-571), Pqlc2 (+535)
chr18_66213820_66214460	Lman1 (-211503), Ccbe1 (+77698)
chr2_68245308_68245816	B3galt1 (+127849), Stk39 (+226706)
chr7_24800073_24800256	Gm9844 (-62048), Ceacam10 (+22959)
chr5_150492420_150492479	Zar1l (+25714), Fry (+232683)
chr3_100798620_100799246	Man1a2 (-113430), Vtcn1 (-26526)
chr6_4177655_4177893	Col1a2 (-327719), Bet1 (-90802)
chr6_4450464_4450896	Bet1 (-363708), Col1a2 (-54813)
chr3_104541864_104542080	Slc16a1 (-96696), Lrig2 (-30132)
chr4_149067037_149067807	Pex14 (+32454), Casz1 (+262993)
chr1_69591449_69591865	Erbb4 (-483598), Ikzf2 (+94164)
chr3_107593472_107593971	Alx3 (-1309)
chr9_122760697_122761350	Tcaim (-44515), Topaz1 (+13678)
chr1_71680195_71680786	Fn1 (-27316), Mreg (+531816)
chr3_108052040_108052438	Gstm4 (-7345), Ampd2 (+33160)
chr3_108425556_108426165	Celsr2 (-10309), Sars (+19308)
chr4_152082698_152083435	Plekhg5 (-13652), Nol9 (+43740)
chr4_152512309_152512511	Nphp4 (+34268), Ajap1 (+970401)
chr2_75703196_75704248	Nfe2l2 (+919)
chr6_29876972_29877169	Strip2 (-39942), Ahcyl2 (+108579)
chr2_77173332_77174053	Ccdc141 (-3076)
chr4_154573900_154574575	Arhgef16 (-274184), Prdm16 (+62628)
chr3_121451443_121451871	Cnn3 (+25160), Slc44a3 (+80747)
chr8_94543691_94544269	Rspry1 (-57957), Cpne2 (+10990)
chr7_35809103_35809348	Tshz3 (-888892), Zfp507 (-6237)
chr6_31068175_31068419	Mkln1 (-330438), Klf14 (-109219)
chr1_78396284_78396886	Sgpp2 (+86240), Farsb (+92274)
chr5_5365527_5365768	Fzd1 (-607613), Cdk14 (+14549)
chr2_92036876_92037367	Phf21a (-184440), Creb3l1 (-12620)
chr6_38738179_38738573	Clec2l (+75307), Hipk2 (+137789)
chr6_39204889_39205411	Parp12 (-86801), Kdm7a (+1639)
chr5_22254478_22254904	Slc26a5 (-389087), Reln (+90011)
chr3_131107045_131107467	Lef1 (-3215)
chr5_24757808_24758735	Crygn (-264)
chr3_131244276_131244734	Hadh (+27596), Lef1 (+134034)
chr7_46554461_46554878	Sergef (+85137), Kcnc1 (+157022)
chr1_87139475_87139663	Akp3 (+14561), Ecel1 (+16952)
chr7_48947324_48947595	Nav2 (-299384), E2f8 (-66419)
chr6_48840815_48841662	Tmem176a (-273), Tmem176b (-259)
chr8_114153558_114154171	Vat1l (-51765), Nudt7 (+20247)
chr6_50319650_50320104	Dfna5 (-56015), Osbpl3 (+50338)
chr5_33696560_33697996	Tmem129 (-38862), Fgfr3 (-24513)
chr3_144643069_144643708	Selenof (+72963), Sh3glb1 (+76934)
chr6_51441965_51442471	Nfe2l3 (+9548), Hnrnpa2b1 (+27627)
chr1_89542574_89542660	Agap1 (+87811), Gbx2 (+388562)
chr7_66028787_66029141	Snrpa1 (-31374), Pcsk6 (+166935)
chr2_122674530_122674813	Slc30a4 (+27967), AA467197 (+36822)
chr7_67477468_67478264	Mef2a (-105008), Lrrc28 (+167365)
chr7_67478458_67478625	Mef2a (-105684), Lrrc28 (+166689)
chr1_90972435_90973484	Rab17 (-3299)
chr8_120335551_120336220	Fam92b (-158420), Gse1 (-152561)
chr3_153658345_153658848	St6galnac5 (-676351), St6galnac3 (+66577)
chr1_92214968_92215830	Hdac4 (-35058), Ndufa10 (+258461)
chr2_130012867_130013076	Tgm3 (+623)
chr4_3909306_3909834	Mos (-37465), Plag1 (+28812)
chr6_55340242_55340410	Ghrhr (-36017), Aqp1 (+3894)
chr4_8766424_8766605	Clvs1 (-502802), Chd7 (+75150)
chr4_10980759_10981211	Plekhf2 (+26691), 2610301B20Rik (+106487)
chr4_11408223_11408836	Virma (-77513), Esrp1 (-21747)
chr8_126173878_126174458	Slc35f3 (-124390), Kcnk1 (+178998)
chr5_76169653_76170186	Tmem165 (-13960), Srd5a3 (+29649)
chr2_138302840_138303516	Btbd3 (+24685)
chr8_127958253_127958967	Nrp1 (-400674), Pard3 (+894554)
chr2_140934622_140935105	Flrt3 (-263395)
chr4_25262276_25262725	Fhl5 (-19625), Ufl1 (+19320)
chr1_126045906_126046585	Lypd1 (-134032), Nckap5 (+784386)
chr4_31853771_31854234	Map3k7 (-110094)
chr6_71831606_71832189	Immt (+567)
chr1_132565503_132565954	Cntn2 (-22790), Nfasc (+176028)
chr7_90412606_90412767	Ccdc89 (-13890), Sytl2 (+63988)
chr1_135021634_135022447	Ube2t (+59476), Lgr6 (+83235)
chr2_157306161_157306239	Mroh8 (-26651), Ghrh (+40455)
chrX_124852855_124853419	Vmn2r121 (-717227)
chr2_157559730_157560474	Nnat (-28)
chr7_97208741_97209406	Usp35 (+122946), Gab2 (+127488)
chr5_99728733_99729813	Rasgef1b (-476346), Gm35911 (-177043)
chr7_99431812_99432597	Klhl35 (-33799), Gdpd5 (+50791)
chr5_100067158_100068139	Enoph1 (+27664), Tmem150c (+92159)
chrY_10420937_10421925	Gm28510 (+8694), Gm20737 (+114611)
chr6_85387689_85387918	Noto (-36082), Rab11fip5 (-13170)
chr5_100226694_100227225	Tmem150c (-67152), Sec31a (+189274)
chr4_46968194_46968301	Tbc1d2 (-318039), Gabbr2 (+23625)
chr6_88730403_88731008	Mgll (+6002), Abtb1 (+111194)
chr6_88788196_88788416	Abtb1 (+53594), Mgll (+63602)
chr7_100720521_100721135	Fam168a (+14126), Relt (+142618)
chr6_90463534_90463787	Klf15 (+987)
chr9_16037207_16037753	Mtnr1b (-163020), Fat3 (+463805)
chr9_21030800_21031100	Icam5 (-1123)
chr5_111006204_111007025	Pitpnb (-324192), Ttc28 (+126812)
chr7_111254084_111254308	Eif4g2 (-171166), Galnt18 (+525781)
chr7_118404782_118405548	Smg1 (-161528), Syt17 (+38395)
chr9_26384034_26384167	B3gat1 (-349627), Eepd1 (+902554)
chr7_125983743_125984404	Gsg1l (+98337), D430042O09Rik (+276159)
chr9_41090940_41091681	Crtam (-86683), Ubash3b (+66751)
chr7_126781249_126781424	Tbx6 (-146)
chr5_115489652_115490228	Pxn (-16868), Sirt4 (-5215)
chr10_43467650_43468092	Bend3 (-10960), Pdss2 (+246385)
chr9_45804872_45805068	Cep164 (+23721), Dscaml1 (+374679)
chr5_117349515_117349848	Wsb2 (-7622), Vsig10 (+30599)
chr7_131627540_131628128	Gpr26 (-338626), Bub3 (+67612)
chr6_118599530_118600028	Ankrd26 (-37553), Cacna1c (+508196)
chr6_120428055_120428672	Il17ra (-34883), Kdm5a (+64240)
chr8_6495632_6495789	NONE
chr8_10924482_10925120	Irs2 (+83657), Myo16 (+770833)
chr10_68276719_68277215	Arid5b (+1773), Rtkn2 (+297369)
chr8_14879323_14879389	Cln8 (-8755), Dlgap2 (+783491)
chr6_128338888_128339485	Tead4 (-38374), Tulp3 (+16664)
chr8_22454239_22454725	Slc20a2 (-22306), Mrps31 (+43121)
chr10_77497736_77497939	Adarb1 (-79568), Fam207a (+17947)
chr10_78414857_78415065	Rrp1 (-1918)
