# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr1_3901785_3901879	Xkr4 (-230334), Rp1 (+458482)
chr2_51118653_51118801	Mmadhc (-822010), Rnd3 (+30384)
chr2_52857451_52857576	Fmnl2 (-354)
chr2_58470276_58470422	Acvr1c (-112454), Acvr1 (+96477)
chr2_59403847_59404694	Dapl1 (-80382), Pkp4 (+243421)
chr2_59820044_59820572	Wdsub1 (+62276), Tanc1 (+208264)
chr2_60402760_60402830	Ly75 (-19564), Pla2r1 (+150513)
chr2_60444337_60444592	Ly75 (-61234), Pla2r1 (+108843)
chr2_62575432_62575736	Fap (-1509)
chr2_70564227_70564550	Gorasp2 (-97187), Gad1 (+2347)
chr2_71533554_71533984	Dlx1 (+5656), Dlx2 (+12985)
chr2_71535847_71536645	Dlx1 (+8133), Dlx2 (+10508)
chr2_71540844_71541537	Dlx2 (+5563), Dlx1 (+13078)
chr2_71541599_71541654	Dlx2 (+5127), Dlx1 (+13514)
chr2_71544140_71544695	Dlx2 (+2336), Dlx1 (+16305)
chr2_71582260_71582367	Itga6 (-204626), Dlx2 (-35560)
chr2_71718970_71719451	Dlx2 (-172457), Itga6 (-67729)
chr2_72471715_72472314	Cdca7 (-4144)
chr2_73140381_73140666	Gm11084 (-153808), Ola1 (+73923)
chr2_74752950_74753504	Hoxd1 (-9753), Gm28230 (+26499), Hoxd13 (+84917)
chr2_74825585_74826003	Mtx2 (-9), Hoxd13 (+157484)
chr2_75788685_75788807	Nfe2l2 (-84105), Agps (-43431)
chr2_78310773_78310853	Ube2e3 (-558234), Cwc22 (-364438)
chr2_83723844_83724281	Itgav (-334)
chr2_91621820_91621875	F2 (+14566), Ckap5 (+95086)
chr2_91649852_91650328	Zfp408 (-311), Arhgap1 (-28)
chr2_91931646_91932210	Mdk (+369)
chr2_91963546_91963896	Dgkz (-13294), Creb3l1 (+60781)
chr2_92401129_92401551	Mapk8ip1 (-77)
chr2_93014737_93015006	Prdm11 (+30699), Syt13 (+99774)
chr2_93899994_93900413	Accsl (-31047), Gm27027 (+96150)
chr2_98759570_98759647	Gm10800 (-92308)
chr2_100991106_100991303	Rag2 (-633513)
chr2_102138039_102138427	Ldlrad3 (+48152), Commd9 (+251980)
chr2_102447622_102448186	Trim44 (-47004), Fjx1 (+4595)
chr2_102782719_102782953	Cd44 (+118789), Slc1a2 (+124177)
chr2_102864719_102865057	Cd44 (+36737), Slc1a2 (+206229)
chr2_104810287_104810398	Depdc7 (-67465), Qser1 (+6353)
chr2_107240609_107240886	Fshb (-181092), Kcna4 (-49891)
chr2_115402260_115402821	Dph6 (-747577), BC052040 (-179175)
chr2_118746206_118746297	Inafm2 (+494)
chr2_119873394_119873473	Mga (-23794), Tyro3 (+73920)
chr2_119997659_119998261	Jmjd7 (-29523), Mapkbp1 (+25261)
chr2_121008103_121008445	Ccndbp1 (-129)
chr2_121044837_121045376	Epb42 (-8035), Tgm5 (+40734)
chr2_122674530_122674813	Slc30a4 (+27967), AA467197 (+36822)
chr2_125139879_125140011	Slc12a1 (-12655), Ctxn2 (+3253)
chr2_125246917_125247407	Dut (-28)
chr2_126147889_126147945	Dtwd1 (-4224), Fam227b (+4087)
chr2_127831827_127832101	Bub1 (-99)
chr2_128125568_128125853	Bcl2l11 (-328)
chr2_128702582_128703053	Tmem87b (-115300), Mertk (+3862)
chr2_130012867_130013076	Tgm3 (+623)
chr2_130121278_130121714	Tgm6 (-1779)
chr2_130840072_130840468	4930402H24Rik (-136)
chr2_131352738_131353097	Rnf24 (-37)
chr2_132577945_132578076	Gpcpd1 (+237)
chr2_135140579_135141022	Plcb4 (-601029), Plcb1 (+354642)
chr2_137127493_137127699	Jag1 (-10952)
chr2_137828343_137828604	Jag1 (-711830), Btbd3 (-450019)
chr2_139112059_139112502	Sptlc3 (-381639), Btbd3 (+833788)
chr2_140934622_140935105	Flrt3 (-263395)
chr2_141049514_141049960	Flrt3 (-378268)
chr2_141289353_141289752	Flrt3 (-618084)
chr2_145486034_145486590	Rin2 (-299804), Slc24a3 (+241340)
chr2_147132574_147133057	Nkx2-4 (-47371), Nkx2-2 (+53588)
chr2_148532899_148533355	Nxt1 (-139474), Cd93 (-89564)
chr2_153241336_153241615	Plagl2 (-3568), Pofut1 (-57)
chr2_155011269_155011643	a (-2075)
chr2_156726188_156726647	Myl9 (-49002), Dlgap4 (+112713)
chr2_156789214_156789609	Tgif2 (-50595), Myl9 (+13992)
chr2_156839689_156840087	Tgif2 (-119)
chr2_157058530_157058846	Dsn1 (-51534), Soga1 (+20566)
chr2_157204229_157204377	Rbl1 (+209)
chr2_157306161_157306239	Mroh8 (-26651), Ghrh (+40455)
chr2_157913267_157913737	Vstm2l (-1151)
chr2_158402136_158402578	Ralgapb (-7594), Snhg11 (+26719)
chr2_158595023_158595424	Slc32a1 (-15543), Arhgap40 (+82428)
chr2_159149182_159149370	Dhx35 (+354469)
chr2_159149445_159150081	Dhx35 (+354956)
chr2_160730816_160731558	Plcg1 (-123)
chr2_161108784_161108888	Chd6 (+186)
chr2_161109154_161109488	Chd6 (-299)
chr2_164384026_164384340	Slpi (-27676), Rbpjl (-19011)
chr2_164540896_164541312	Wfdc2 (-21475), Pigt (+43584)
chr2_164879772_164879856	Pcif1 (+449)
chr2_165275164_165275832	Cdh22 (-40645), Slc35c2 (+12371)
chr2_165833560_165833810	Zmynd8 (+44752), Eya2 (+178387)
chr2_166251703_166251949	Sulf2 (-96163), Prex1 (+462006)
chr2_167503077_167503556	Snai1 (-34878), Spata2 (-10430)
chr2_169052727_169052852	Zfp64 (-97518), Gm11011 (+534955)
chr2_170533984_170534641	Pfdn4 (+23078), 4930470P17Rik (+67704)
chr2_170538308_170538530	Pfdn4 (+27184), 4930470P17Rik (+63598)
chr2_170690348_170690724	4930470P17Rik (-88519), Dok5 (-41271)
chr2_170708937_170709497	4930470P17Rik (-107200), Dok5 (-22590)
chr2_172788963_172789728	Bmp7 (+150975), Tfap2c (+238355)
chr2_172856028_172856437	Bmp7 (+84088), Tfap2c (+305242)
chr2_173737234_173737405	Vapb (-191)
chr2_174324504_174324986	Nelfcd (-91059), Gnas (+26886)
chr2_174429224_174429467	Ctsz (+9693), Nelfcd (+13542)
chr2_180024512_180024850	Lsm14b (-306)
chr2_180522605_180522897	Mrgbp (-59961), Ntsr1 (+22775)
chr3_3673435_3673809	Hnf4g (+165592)
chr3_7113125_7113364	1700008P02Rik (-492802), Pkia (-253425)
chr3_9710976_9711764	Zfp704 (-101285), Pag1 (+122309)
chr3_9833852_9834050	Pag1 (-272)
chr3_14071542_14072029	Slc7a12 (-408911), Ralyl (+600104)
chr3_15113232_15113829	Gm9733 (+218771), Car2 (+227103)
chr3_20367208_20367381	Agtr1b (-118)
chr3_21357201_21357455	Agtr1b (-990151), Tbl1xr1 (-719324)
chr3_22076142_22076852	Tbl1xr1 (-155)
chr3_23409490_23409906	NONE
chr3_27711303_27711533	Fndc3b (-1020)
chr3_29541593_29541844	Egfem1 (+458986), Mecom (+471437)
chr3_31979662_31979887	Kcnmb2 (+77072), Zmat3 (+385903)
chr3_32070356_32070425	Kcnmb2 (+167688), Zmat3 (+295287)
chr3_35027941_35028228	Atp11b (-726049), Sox2 (+377680)
chr3_37481581_37481653	Spry1 (-158463), Spata5 (+61721)
chr3_37639656_37640080	Spry1 (-212)
chr3_37935470_37935613	Gm5148 (-211213), Ankrd50 (+549302)
chr3_37935903_37936334	Gm5148 (-211790), Ankrd50 (+548725)
chr3_38484948_38485225	Ankrd50 (-243)
chr3_39838368_39838782	Intu (-702192), Fat4 (+951635)
chr3_40799636_40800019	Plk4 (-191)
chr3_41564814_41565005	Jade1 (+1541), Sclt1 (+177604)
chr3_50844963_50845507	Slc7a11 (-401624), Noct (-379212)
chr3_52101924_52102442	Maml3 (+2893), Mgst2 (+441004)
chr3_52138547_52138910	Foxo1 (-129607), Maml3 (-33653)
chr3_52487757_52487817	Foxo1 (+219451), Cog6 (+529450)
chr3_52662224_52662566	Cog6 (+354842), Foxo1 (+394059)
chr3_54696858_54697396	Supt20 (+4022), Exosc8 (+38266)
chr3_55539140_55539744	Mab21l1 (-243068), Dclk1 (+296916)
chr3_58692464_58692604	Siah2 (-134)
chr3_59200439_59201050	Gpr87 (-5641), P2ry13 (+10137)
chr3_60123784_60124074	Mbnl1 (-377250), Sucnr1 (+42060)
chr3_60486275_60486373	Mbnl1 (-14855), Sucnr1 (+404455)
chr3_68494006_68494325	Il12a (-197258), Schip1 (+429364)
chr3_69808583_69808959	Sptssb (+51169), Nmd3 (+86786)
chr3_74642247_74642305	Bche (-933861), Zbbx (+501496)
chr3_77206665_77206750	NONE
chr3_81091990_81092176	Ctso (-840518), Pdgfc (+55667)
chr3_84186068_84186233	Gm6525 (+12047), Trim2 (+84640)
chr3_84191475_84192013	Gm6525 (+17640), Trim2 (+79047)
chr3_86777283_86777555	Mab21l2 (-229136), Dclk2 (+143433)
chr3_87150700_87151006	Cd1d1 (-151412), Kirrel (+23894)
chr3_88208020_88208504	Rhbg (+46447), Mef2d (+65690)
chr3_89394664_89395275	Zbtb7b (-7299), Lenep (+7823)
chr3_89429998_89430438	Pygo2 (-43)
chr3_90446545_90446849	Ints3 (-13168), Npr1 (+19169)
chr3_93520342_93520566	S100a11 (-34)
chr3_93520645_93520806	S100a11 (+238)
chr3_94837696_94837840	Pogz (+201)
chr3_96696191_96696428	Pias3 (-773)
chr3_97190612_97190692	Acp6 (+31875), Bcl9 (+36712)
chr3_97227108_97228061	Bcl9 (-221)
chr3_98056663_98057004	Adam30 (-103826), Notch2 (+43296)
chr3_100798950_100799172	Man1a2 (-113558), Vtcn1 (-26398)
chr3_101963276_101964147	Nhlh2 (-46443), Slc22a15 (-39319)
chr3_102674289_102674605	Tspan2 (-60082), Ngf (+204519)
chr3_102676569_102676769	Tspan2 (-57860), Ngf (+206741)
chr3_104997381_104997921	Wnt2b (-35730), Cttnbp2nl (+55495)
chr3_107545947_107546112	Slc6a17 (-28012), Ubl4b (+9043)
chr3_108283858_108284290	Sort1 (-8)
chr3_110341246_110341507	Prmt6 (-90384)
chr3_114041314_114041446	Col11a1 (+10840)
chr3_116459665_116459906	Cdc14a (-35754), Rtca (+48422)
chr3_117186916_117187051	Palmd (-217997), Plppr4 (+173892)
chr3_119283472_119283641	Ptbp2 (+499831), Dpyd (+721428)
chr3_121723358_121723478	F3 (-119)
chr3_123426408_123426601	Mettl14 (-40397), Prss12 (-20408)
chr3_123890071_123890592	Tram1l1 (-430523), Ndst3 (-199479)
chr3_124770338_124770708	Ndst4 (-633553), 1700003H04Rik (-189432)
chr3_125228393_125228549	1700003H04Rik (-647380), Ndst4 (-175605)
chr3_127745227_127746146	Alpk1 (+34840), Neurog2 (+112552)
chr3_127922425_127922598	5730508B09Rik (-26188)
chr3_128379383_128379877	Pitx2 (-834342), 5730508B09Rik (-483306)
chr3_128959246_128959306	Pitx2 (-254696)
chr3_129705232_129705797	Egf (+49801), Elovl6 (+173129)
chr3_131214166_131214299	Hadh (+57868), Lef1 (+103762)
chr3_131597143_131597314	Dkk2 (-488063), Papss1 (+32461)
chr3_134343735_134343824	Tacr3 (-485227), Cxxc4 (+107289)
chr3_138189015_138189290	4930579F01Rik (-2480)
chr3_141482532_141482851	Unc5c (+17118), Bmpr1b (+499572)
chr3_142336762_142337050	Bmpr1b (-354642), Pdlim5 (+54902)
chr3_143985047_143985461	Lmo4 (+219966)
chr3_144460250_144460542	Lmo4 (-255176), Hs2st1 (+109785)
chr3_146707042_146707102	Samd13 (-21480), Prkacb (+74344)
chr3_147612858_147613006	Ttll7 (+760565)
chr3_149149912_149149967	Adgrl2 (-195282)
chr3_151540709_151540947	Adgrl4 (+102941), Ifi44 (+209132)
chr3_155577006_155577462	Negr1 (-984560), Lrriq3 (+483800)
chr3_158216004_158216070	Lrrc40 (+179375), Lrrc7 (+346184)
chr3_159653587_159653714	Wls (-186021), Rpe65 (+54476)
chr3_159847395_159847663	Wls (+7857)
chr4_7917760_7918122	Tox (-927142), Car8 (+321100)
chr4_12907160_12907340	Triqk (+392)
chr4_14103253_14103330	Runx1t1 (+351995), Slc26a7 (+518513)
chr4_15626322_15626378	Calb1 (-254914), Tmem64 (+360519)
chr4_15945406_15945691	Decr1 (-42)
chr4_21994859_21994923	Fbxl4 (-362652), Faxc (+63560)
chr4_22488364_22488697	Pou3f2 (-165)
chr4_30777546_30777813	NONE
chr4_31513524_31513977	Map3k7 (-450346)
chr4_32615024_32615421	Casp8ap2 (-255)
chr4_37388867_37389221	NONE
chr4_41108021_41108400	Aqp3 (-10028), Nol6 (+16244)
chr4_42999687_42999931	Vcp (+698)
chr4_43442810_43443268	Tesk1 (+1100), Cd72 (+11589)
chr4_43492890_43493597	Ccdc107 (-118)
chr4_43669221_43669780	Fam221b (-360), Tmem8b (+530)
chr4_44023773_44024207	Clta (+11312), Gne (+60187)
chr4_44026016_44026307	Clta (+13484), Gne (+58015)
chr4_45325976_45326055	Dcaf10 (-16085), Exosc3 (-5387)
chr4_45493225_45493503	Slc25a51 (-84598), Shb (+36966)
chr4_45499587_45499891	Slc25a51 (-90973), Shb (+30591)
chr4_46968194_46968301	Tbc1d2 (-318039), Gabbr2 (+23625)
chr4_47161345_47161655	Col15a1 (-46661), Galnt12 (+69591)
chr4_53221352_53221645	Slc44a1 (-218914), Abca1 (-61604)
chr4_55316711_55317136	Rad23b (-33119), Zfp462 (+368948)
chr4_56230436_56230652	Klf4 (-698078), Actl7b (+510899)
chr4_57297387_57297681	Epb41l4b (-154097), Ptpn3 (+4303)
chr4_59388733_59388842	Susd1 (+49845), Ugcg (+199531)
chr4_62640975_62641146	Zfp618 (-324513), Rgs3 (+21541)
chr4_62694875_62695188	Zfp618 (-270542), Rgs3 (+75512)
chr4_72028083_72028151	Gm11232 (-270152), Tle1 (+172740)
chr4_74464015_74464514	Kdm4c (+212329), Tmem261 (+814040)
chr4_76134284_76134703	Tmem261 (-856189), Ptprd (+459805)
chr4_83024946_83025482	Frem1 (-4112)
chr4_83623175_83623479	Ccdc171 (+97782)
chr4_84876256_84876783	Bnc2 (-201434), Cntln (-7945)
chr4_88438754_88439091	Hacd4 (+3)
chr4_95744464_95744916	Hook1 (-222550), Fggy (+187183)
chr4_96451143_96451296	Cyp2j11 (-102558), Cyp2j8 (+56166)
chr4_98126219_98126331	E130114P18Rik (-348227), Tm2d1 (+257031)
chr4_99267800_99268203	Gm12689 (-27898), Atg4c (+74068)
chr4_100170436_100170562	Ube2u (-308350), Ror1 (+74708)
chr4_101066573_101066755	Raver2 (-2319)
chr4_104109806_104110109	Dab1 (-257632), Oma1 (+796146)
chr4_105196928_105197267	Gm12728 (-592771), Plpp3 (+39751)
chr4_105347765_105348326	Gm12728 (-441823), Plpp3 (+190699)
chr4_106091876_106092652	Usp24 (-223970), Gm12728 (+302395)
chr4_107828781_107829208	Magoh (-50760), Lrp8 (+26582)
chr4_111200245_111200590	Bend5 (-214588), Agbl4 (+802627)
chr4_111451605_111451816	Spata6 (-268273), Bend5 (+36705)
chr4_116153370_116153434	Lurap1 (-8793), Tspan1 (+14198)
chr4_118465725_118466103	Mpl (-8419), Tie1 (+24147)
chr4_119539425_119539665	Foxj3 (-116)
chr4_120287817_120288149	Foxo6 (-634)
chr4_120589744_120590208	Cited4 (-76596), Gm8439 (+1231)
chr4_120649685_120649843	Cited4 (-16808), Gm8439 (+61019)
chr4_123282619_123282829	Pabpc4 (-187)
chr4_123311755_123312281	Oxct2a (+11616), Pabpc4 (+29107)
chr4_124526625_124527129	3100002H09Rik (+83926), Rragc (+609431)
chr4_125319253_125319739	Zc3h12a (-191656), Grik3 (-171204)
chr4_126600676_126601041	5730409E04Rik (-8959), Clspn (+43924)
chr4_127077180_127077570	Zmym6 (-8)
chr4_127173384_127173774	Dlgap3 (+699)
chr4_127365294_127365864	Gjb5 (-7398), CK137956 (+605372)
chr4_127619871_127620225	Gjb5 (-261867), CK137956 (+350903)
chr4_128880660_128880924	Trim62 (-2796)
chr4_129189420_129189839	Yars (-130), S100pbp (-88)
chr4_129189906_129189973	S100pbp (-398), Yars (+180)
chr4_129406245_129406773	Zbtb8a (-28393), Zbtb8b (+34309)
chr4_129500715_129501262	Marcksl1 (-12592), Fam229a (+9799)
chr4_129556413_129556639	Hdac1 (-13813), Lck (+1846)
chr4_129742282_129742347	Khdrbs1 (-19)
chr4_129742422_129743124	Khdrbs1 (-477)
chr4_130576692_130576837	Nkain1 (-2592)
chr4_131115337_131115535	Matn1 (+171051), Ptpru (+722795)
chr4_131391191_131391513	Ptpru (+446879), Matn1 (+446967)
chr4_133125262_133126008	Wasf2 (-4870)
chr4_133671894_133672404	Pigv (+498)
chr4_133728264_133728547	Pigv (-55759), Arid1a (+25205)
chr4_133755991_133756135	Arid1a (-2452)
chr4_133813716_133813886	Arid1a (-60190), Rps6ka1 (+73996)
chr4_133969285_133969786	Hmgn2 (-1535)
chr4_134019257_134019496	Lin28a (-536)
chr4_134914813_134915028	Tmem50a (+103)
chr4_135570106_135570379	Grhl3 (+3387), Stpg1 (+74256)
chr4_135590698_135590976	Ifnlr1 (-95450), Grhl3 (-17207)
chr4_135946391_135946551	Hmgcl (+23)
chr4_136247700_136248104	Tcea3 (-50)
chr4_136706475_136706763	Lactbl1 (+83998), Ephb2 (+129337)
chr4_136924412_136924926	C1qa (-25866), Epha8 (+32147)
chr4_137142194_137142888	Wnt4 (-134948), Zbtb40 (-93846)
chr4_137436571_137436793	1700013G24Rik (-16602), Cela3b (-6142)
chr4_137913290_137913571	Eif4g3 (-80025), Ece1 (+51194)
chr4_140258980_140259639	Igsf21 (-12526), Arhgef10l (+389440)
chr4_140420969_140421494	Igsf21 (-174448), Arhgef10l (+227518)
chr4_140814134_140814269	Padi3 (-3554)
chr4_141327134_141327445	Fam131c (-40930), Epha2 (+26050)
chr4_141546599_141546784	Spen (-8095), Fblim1 (+51532)
chr4_141546892_141546985	Spen (-8342), Fblim1 (+51285)
chr4_142251303_142251854	Kazn (-12178), Prdm2 (+961126)
chr4_148229697_148230119	Disp3 (+58057), Fbxo2 (+69287)
chr4_148711124_148711482	Casz1 (-93126), Gm572 (+67986)
chr4_149426614_149427005	Ube4b (-61)
chr4_149837056_149837138	Slc25a33 (-62820), Spsb1 (+117946)
chr4_149949852_149949981	Slc25a33 (-175640), Spsb1 (+5126)
chr4_150871873_150872159	Errfi1 (+16943), Park7 (+37610)
chr4_151044689_151045117	Per3 (-238)
chr4_151604340_151605356	Camta1 (+256898), Gm13090 (+515278)
chr4_152083280_152083376	Plekhg5 (-13391), Nol9 (+44001)
chr4_152512309_152512511	Nphp4 (+34268), Ajap1 (+970401)
chr4_153526509_153526998	A430005L14Rik (-430483), Ajap1 (-43943)
chr4_155859388_155859703	Tas1r3 (+3816), Dvl1 (+12144)
chr4_156197471_156198219	Agrn (-357)
chr5_4104710_4104992	Cyp51 (-105)
chr5_4685714_4686345	Fzd1 (+72005), Mterf1b (+493663)
chr5_5365527_5365768	Fzd1 (-607613), Cdk14 (+14549)
chr5_8118894_8118972	Sri (+62406), Adam22 (+249049)
chr5_12498586_12498871	Sema3a (-900580), Sema3d (+115344)
chr5_16082090_16082664	Hgf (-471173), Cacna2d1 (+147589)
chr5_20843739_20844204	Phtf2 (+38152)
chr5_22746780_22747078	Lhfpl3 (+870)
chr5_29569646_29569708	Ube3c (+435)
chr5_30710696_30711029	Dpysl5 (-701)
chr5_31924371_31924630	Fosl2 (-211300), Babam2 (+226451)
chr5_33438218_33438613	Nkx1-1 (-4440)
chr5_34337042_34337347	Rnf4 (+906)
chr5_35759126_35759741	Afap1 (-133885), Ablim2 (+1383)
chr5_37828258_37829111	Msx1 (-4102)
chr5_38297995_38298332	Drd5 (-21203), Otop1 (+20760)
chr5_41764292_41764836	Nkx3-2 (-63)
chr5_43232995_43233219	Cpeb2 (-63)
chr5_43233308_43233394	Cpeb2 (+181)
chr5_48747417_48747896	5730480H06Rik (+375328), Kcnip4 (+777250)
chr5_49996490_49996915	Kcnip4 (-471796), Adgra3 (+62303)
chr5_57283302_57283669	Pcdh7 (-434481)
chr5_65028448_65028825	Fam114a1 (+58566), Tmem156 (+62947)
chr5_66618639_66619109	Apbb2 (-203)
chr5_72845699_72845793	Txk (-109144), Tec (+22698)
chr5_74593093_74593318	Fip1l1 (+57735), Lnx1 (+92581)
chr5_74633390_74633598	Lnx1 (+52293), Fip1l1 (+98023)
chr5_74645293_74645686	Lnx1 (+40297), Fip1l1 (+110019)
chr5_76744917_76745344	Cep135 (+156430), Aasdh (+160383)
chr5_77242342_77242692	Spink2 (-31046), Rest (-22974)
chr5_77265017_77266000	Rest (+18)
chr5_77368210_77368304	Igfbp7 (+39783), Polr2b (+58110)
chr5_77678313_77678566	Igfbp7 (-270400)
chr5_79499061_79499795	NONE
chr5_83055556_83055822	Tecrl (+299506)
chr5_91603255_91603947	Parm1 (+85986), Rchy1 (+359467)
chr5_92377364_92377420	Cxcl10 (-28510), Nup54 (+57827)
chr5_93045004_93045230	Sowahb (-95)
chr5_93148188_93148322	Sept11 (+54684), Ccni (+58240)
chr5_93267322_93267620	Ccng2 (+214)
chr5_96376047_96376521	Anxa3 (-417101), Fras1 (+2329)
chr5_96539146_96539346	Anxa3 (-254139), Fras1 (+165291)
chr5_98690697_98691124	Bmp3 (-163540), Gm11111 (+138216)
chr5_99402394_99402603	Gm35911 (-503817), Rasgef1b (-149572)
chr5_100500576_100500811	Lin54 (-2116)
chr5_101827506_101827701	Cds1 (+62474), Wdfy3 (+242317)
chr5_103412086_103412466	Mapk10 (-200942), Ptpn13 (-13225)
chr5_103569235_103569465	Slc10a6 (+60053), Ptpn13 (+143849)
chr5_105495186_105495498	Lrrc8c (-24046), Lrrc8b (+79567)
chr5_105860227_105860586	Zfp326 (-16161), Lrrc8d (+159618)
chr5_106375020_106375098	Barhl2 (+83107), Zfp326 (+498491)
chr5_106560521_106560989	Barhl2 (-102589), Zfp644 (+136075)
chr5_107437851_107438133	A830010M20Rik (-59753), Lpcat2b (+6443)
chr5_109557122_109557656	Crlf2 (+1604), Vmn2r17 (+137376)
chr5_109558605_109559103	Crlf2 (+139)
chr5_110176695_110177072	Golga3 (+5)
chr5_111298727_111299171	Pitpnb (-31858), Ttc28 (+419146)
chr5_112396253_112396618	Asphd2 (-4223)
chr5_112718591_112719156	Sez6l (-141899), Myo18b (+177488)
chr5_113164473_113165078	Tmem211 (-62133), 2900026A02Rik (-26790)
chr5_113310549_113311026	Sgsm1 (-2)
chr5_113584591_113584703	Cmklr1 (+65779), Wscd2 (+94200)
chr5_113908621_113909219	Coro1c (-162)
chr5_114537450_114537886	Fam222a (-30348), Mvk (+93382)
chr5_115007564_115007861	Sppl3 (-3424)
chr5_115007920_115008110	Sppl3 (-3122)
chr5_116312485_116312665	Ccdc60 (-23590), Hspb8 (+110289)
chr5_116700720_116701034	Srrm4 (-109060), Suds3 (+415236)
chr5_118155324_118155633	Fbxw8 (-15)
chr5_121078553_121078852	Rph3a (-69165), Ptpn11 (+112626)
chr5_123676788_123677101	Vps33a (-103907), Clip1 (+7673)
chr5_125465666_125465931	Aacs (-10015), Bri3bp (+24231)
chr5_127241640_127241972	Tmem132c (-2)
chr5_127632793_127632975	Glt1d1 (+622)
chr5_128565775_128566044	Tmem132d (-132833), Fzd10 (-34934)
chr5_129413450_129413637	Sfswap (-87677), Adgrd1 (+316794)
chr5_134555090_134555961	Clip2 (-3092)
chr5_135078267_135078811	Vps37d (-273)
chr5_135106700_135106978	Mlxipl (-79)
chr5_135484897_135485260	Pom121 (-90533), Hip1 (+60036)
chr5_135790517_135791062	Srrm3 (-27316), Mdh2 (+12310)
chr5_136393157_136393384	Sh2b2 (-148368), Cux1 (+173975)
chr5_136679084_136679281	Cux1 (-111937), Myl10 (-13995)
chr5_138160674_138161481	Cops6 (+7)
chr5_138195986_138196361	Nxpe5 (-33648), Mblac1 (+1860)
chr5_138441820_138442175	Zfp157 (+530)
chr5_138992844_138993336	Pdgfa (+1947), Gm5294 (+173010)
chr5_138999352_138999733	Pdgfa (-4506)
chr5_139639274_139639568	Uncx (+95927), Micall2 (+96915)
chr5_140062174_140062710	Elfn1 (+154499), Mad1l1 (+259110)
chr5_140473606_140473695	Chst12 (-31899), Gm4869 (+28006)
chr5_140788533_140789069	Gna12 (+41630), Amz1 (+53275)
chr5_140829621_140830199	Gna12 (+521)
chr5_143758059_143758512	Eif2ak1 (-59502), Usp42 (-26006)
chr5_146794736_146795186	Usp12 (+45)
chr5_146795367_146795422	Usp12 (-389)
chr5_147726840_147727204	Flt1 (-1011)
chr5_148374171_148374689	Slc7a1 (+25474), Mtus2 (+417110)
chr5_148789001_148789078	Ubl3 (-236378), Katnal1 (+139607)
chr5_148789138_148789441	Ubl3 (-236628), Katnal1 (+139357)
chr5_148789509_148789564	Ubl3 (-236875), Katnal1 (+139110)
chr5_149051790_149052191	Katnal1 (-123344), Hmgb1 (+1049)
chr5_150492420_150492479	Zar1l (+25714), Fry (+232683)
chr5_151185595_151186065	Stard13 (+4364), Kl (+233223)
chr6_4450464_4450896	Bet1 (-363708), Col1a2 (-54813)
chr6_7150963_7151026	Tac1 (-403884), Sdhaf3 (+194991)
chr6_9022429_9023127	Nxph1 (+74164)
chr6_10186387_10186451	NONE
chr6_17635573_17635929	Capza2 (-1232)
chr6_23292475_23293039	Fezf1 (-44395), Rnf133 (+357548)
chr6_24853202_24853325	Hyal5 (-4733)
chr6_29735316_29735592	Smo (-240)
chr6_29876972_29877169	Strip2 (-39942), Ahcyl2 (+108579)
chr6_30547856_30548128	Cpa4 (-20377), Cpa2 (+6410)
chr6_30606209_30606446	Cpa5 (-4682)
chr6_30720584_30721111	Cep41 (-27099), Mest (-17205)
chr6_30957792_30958341	Tsga13 (-42494), Klf14 (+1011)
chr6_33935720_33936332	Lrguk (-93422), Exoc4 (+686941)
chr6_35177523_35177667	Nup205 (+165)
chr6_39725307_39725719	Braf (-50)
chr6_40471154_40471324	Ssbp1 (-176)
chr6_41768626_41768695	Kel (-64322), Olfr459 (+6516)
chr6_43336236_43336323	Nobox (-26726), Tpk1 (+329998)
chr6_44284954_44285012	Cntnap2 (-775078), Tpk1 (-618705)
chr6_47877532_47877608	Zfp282 (+366)
chr6_47877672_47877920	Zfp282 (+592)
chr6_49073608_49073946	Malsu1 (-18)
chr6_49195079_49195469	Igf2bp3 (+19683), Malsu1 (+121479)
chr6_51961062_51961322	Skap2 (+51357), Snx10 (+437291)
chr6_52012281_52012636	Skap2 (+90)
chr6_52091248_52091431	Skap2 (-78791), Hoxa1 (+66977)
chr6_52190832_52191004	Hoxa4 (+835)
chr6_52191056_52191146	Hoxa4 (+652)
chr6_53229354_53229727	Jazf1 (-160910), Creb5 (-57729)
chr6_53314262_53314810	Creb5 (+27266), Tril (+506294)
chr6_54145787_54146017	Prr15 (-180981), Chn2 (+106329)
chr6_55108426_55108726	Crhr2 (+24384), Gars (+70569)
chr6_55340242_55340410	Ghrhr (-36017), Aqp1 (+3894)
chr6_56831934_56832138	Fkbp9 (-23)
chr6_61128428_61128711	Ccser1 (-51754), Mmrn1 (+184094)
chr6_64604855_64605399	Atoh1 (-123998)
chr6_66009447_66010015	Mad2l1 (-525659), 4930544G11Rik (+57122)
chr6_68318760_68318822	Tacstd2 (-782995)
chr6_70862055_70862510	Eif2ak3 (+17768), Tex37 (+56644)
chr6_70992306_70992542	Foxi3 (+35818), Thnsl2 (+152015)
chr6_71632904_71633648	Kdm3a (-590)
chr6_71785334_71785673	Mrpl35 (+38306), Reep1 (+77943)
chr6_72439537_72439770	Mat2a (-96)
