# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr1_9827915_9828152	Mcmdc2 (-80604), Sgk3 (+29891)
chr9_14568603_14569074	Amotl1 (+46167), Cwc15 (+68222)
chr9_15071660_15072292	Panx1 (-26498), Hephl1 (+40132)
chr9_16037207_16037753	Mtnr1b (-163020), Fat3 (+463805)
chr9_31849108_31849941	Tmem45b (-385063), Barx2 (+63937)
chr9_32435829_32435993	Kcnj1 (+41926), Fli1 (+105684)
chr9_41090940_41091681	Crtam (-86683), Ubash3b (+66751)
chr9_41985054_41985607	Ubash3b (-827269), Sorl1 (+138966)
chr9_43303821_43304690	Oaf (-64345), Trim29 (-6592)
chr9_43863773_43864373	Thy1 (-179311), Nectin1 (+120089)
chr9_46152201_46152964	Apoa1 (-75997), Sik3 (+139763)
chr9_50832148_50832691	Ppp2r1b (-24504), Alg9 (+57401)
chr9_54769481_54770339	Ireb2 (-93879), Crabp1 (+5162)
chr9_55542234_55544237	Isl2 (+2088), Scaper (+376369)
chr9_55544680_55546400	Isl2 (+4392), Scaper (+374065)
chr9_61954715_61954953	Kif23 (-8060), Paqr5 (+72022)
chr9_62510235_62510953	Coro2b (+26450), Anp32a (+169265)
chr9_63668508_63669046	Aagab (+66117), Smad3 (+89217)
chr9_63932686_63933176	Smad3 (-174937), Smad6 (+89128)
chr9_64017652_64018344	Smad3 (-260004), Smad6 (+4061)
chr9_66611815_66612170	Car12 (-101693), Usp3 (-18851)
chr9_66628355_66628977	Car12 (-85020), Usp3 (-35524)
chr9_66748138_66748920	Car12 (+34843), Aph1b (+46961)
chr9_67539160_67540454	Tpm1 (-490401), Tln2 (+19896)
chr9_70874974_70875251	Lipc (+59695), Adam10 (+196116)
chr9_70875375_70876083	Lipc (+59079), Adam10 (+196732)
chr9_72111611_72112451	Tcf12 (-184)
chr9_72374872_72375643	Mns1 (-63277), Zfp280d (+100379)
chr9_77427179_77427873	Mlip (-79656), Lrrc1 (+117344)
chr9_77463740_77464405	Mlip (-116203), Lrrc1 (+80797)
chr9_77537783_77538814	Mlip (-190429), Lrrc1 (+6571)
chr9_84909474_84910308	Gm11114 (-402882), Bckdhb (+984746)
chr9_85394862_85395432	Fam46a (-68023), Ibtk (+354187)
chr9_86770179_86770560	Prss35 (+26721), Snap91 (+110069)
chr9_94016653_94017101	1190002N15Rik (+521204)
chr9_95143996_95144208	Chst2 (+262620), Slc9a9 (+474193)
chr9_96865261_96866663	Zbtb38 (-113131), Pxylp1 (+23512)
chr9_105659784_105660189	Pik3r4 (+16957), Col6a6 (+168173)
chr9_120246701_120247726	Myrip (-56722), Mobp (+97507)
chr9_120884512_120885816	Ctnnb1 (-48236), Rpl14 (+313720)
chr9_122760697_122761350	Tcaim (-44515), Topaz1 (+13678)
chr9_123177526_123177827	Clec3b (+26731), Cdcp1 (+38361)
chrX_13373071_13373741	Nyx (-92704), Ddx3x (+92436)
chrX_15007613_15007953	H2al1n (+796635)
chrX_15008345_15008677	H2al1n (+797363)
chrX_17853805_17854008	Dusp21 (-291950), Fundc1 (-281582)
chrX_110864195_110864371	Cylc1 (-246175), Pou3f4 (+50003)
chrX_123480403_123480729	Srsx (-258085), Cldn34c2 (-101134)
chrX_124391107_124391513	Vmn2r121 (-255400)
chrX_124852855_124853419	Vmn2r121 (-717227)
chrX_125716392_125716627	NONE
chrX_126022875_126023037	4932411N23Rik (+792912)
chrX_126069242_126069417	4932411N23Rik (+746538)
chrX_140696994_140697559	Mid2 (+19249), Tex13b (+116156)
chrY_4420889_4421043	Gm20918 (-622971), Gm3376 (+649293)
chrY_5027439_5027593	Gm20918 (-16421)
chrY_5048100_5048297	Gm21854 (-608787), Gm20918 (+4262)
chrY_5245840_5246100	Gm21854 (-411016), Gm20918 (+202033)
chrY_5265783_5266170	Gm21854 (-391009), Gm20918 (+222040)
chrY_5266553_5266758	Gm21854 (-390330), Gm20918 (+222719)
chrY_5275347_5275736	Gm21854 (-381444), Gm20918 (+231605)
chrY_5583251_5583545	Gm21854 (-73588), Gm20918 (+539461)
chrY_5679687_5679855	Gm20914 (-46207), Gm21854 (+22785)
chrY_5687407_5687636	Gm20914 (-38456), Gm21854 (+30536)
chrY_5738914_5739188	Gm28171 (-54344), Gm20914 (+13073)
chrY_5754871_5755110	Gm28171 (-38404), Gm20914 (+29013)
chrY_5876544_5876957	Gm21778 (-65709), Gm28171 (+83356)
chrY_5915807_5915998	Gm21778 (-26557), Gm28171 (+122508)
chrY_5919560_5919816	Gm21778 (-22772), Gm28171 (+126293)
chrY_5933374_5933597	Gm21778 (-8974), Gm28171 (+140091)
chrY_5937116_5937514	Gm21778 (-5145), Gm28171 (+143920)
chrY_5962099_5962260	Gm20873 (-304918), Gm21778 (+19720)
chrY_5979018_5979212	Gm20873 (-287983), Gm21778 (+36655)
chrY_6003709_6003974	Gm20873 (-263256), Gm21778 (+61382)
chrY_6004935_6005236	Gm20873 (-262012), Gm21778 (+62626)
chrY_6024394_6024695	Gm20873 (-242553), Gm21778 (+82085)
chrY_6028609_6028868	Gm20873 (-238359), Gm21778 (+86279)
chrY_6067861_6068266	Gm20873 (-199034), Gm21778 (+125604)
chrY_6109372_6109563	Gm20873 (-157630), Gm21778 (+167008)
chrY_6113207_6113633	Gm20873 (-153678), Gm21778 (+170960)
chrY_6162657_6162884	Gm20873 (-104327), Gm21778 (+220311)
chrY_6237235_6237772	Gm20873 (-29594), Gm21778 (+295044)
chrY_6246466_6246704	Gm20873 (-20513), Gm21778 (+304125)
chrY_6326847_6327080	Gm28919 (-256582), Gm20873 (+59866)
chrY_6392774_6392984	Gm28919 (-190667), Gm20873 (+125781)
chrY_6492824_6493010	Gm28919 (-90629), Gm20873 (+225819)
chrY_6524057_6524338	Gm28919 (-59348), Gm20873 (+257100)
chrY_6717575_6717903	Gm21719 (-34867), Gm20830 (+200543)
chrY_6735364_6735968	Gm21719 (-52794), Gm20830 (+182616)
chrY_6745282_6745453	Gm21719 (-62496), Gm20830 (+172914)
chrY_6753256_6754180	Gm21719 (-70846), Gm20830 (+164564)
chrY_6755191_6755750	Gm21719 (-72599), Gm20830 (+162811)
chrY_6755952_6756171	Gm21719 (-73190), Gm20830 (+162220)
chrY_6842180_6842367	Gm21719 (-159402), Gm20830 (+76008)
chrY_6857146_6857473	Gm21719 (-174438), Gm20830 (+60972)
chrY_8999768_9000082	Gm20815 (-164756), Gm21292 (+132636)
chrY_9059528_9059720	Gm20815 (-224455), Gm21292 (+72937)
chrY_9059854_9060003	Gm20815 (-224760), Gm21292 (+72632)
chrY_9098267_9098505	Gm20815 (-263217), Gm21292 (+34175)
chrY_9099492_9100132	Gm20815 (-264643), Gm21292 (+32749)
chrY_9117453_9117633	Gm20815 (-282374), Gm21292 (+15018)
chrY_9131730_9131915	Gm21292 (+738)
chrY_9180317_9180448	Gm21292 (-47822), Gm21721 (+21807)
chrY_9189764_9189988	Gm21292 (-57315), Gm21721 (+12314)
chrY_9197423_9197885	Gm21292 (-65093), Gm21721 (+4536)
chrY_9290079_9290252	Gm21721 (-87976), Gm21812 (+57018)
chrY_9290664_9290821	Gm21721 (-88553), Gm21812 (+56441)
chrY_9329924_9330411	Gm21721 (-127978), Gm21812 (+17016)
chrY_9401855_9402114	Gm21812 (-54801), Gm21874 (+14163)
chrY_9495970_9496316	Gm20821 (-285661), Gm21874 (-79995)
chrY_9500425_9500598	Gm20821 (-281292), Gm21874 (-84364)
chrY_9588052_9588261	Gm20821 (-193647), Gm21874 (-172009)
chrY_10015037_10015477	Gm21310 (+131926), Gm20821 (+233453)
chrY_10229404_10229609	Gm21310 (-82324), Gm20834 (+95082)
chrY_10348541_10348758	Gm28510 (-64087), Gm20834 (-24061)
chrY_10359034_10359539	Gm28510 (-53450), Gm20834 (-34698)
chrY_10366364_10366721	Gm28510 (-46194), Gm20834 (-41954)
chrY_10367885_10368050	Gm28510 (-44769), Gm20834 (-43379)
chrY_10386074_10386255	Gm20834 (-61576), Gm28510 (-26572)
chrY_10397833_10398372	Gm20834 (-73514), Gm28510 (-14634)
chrY_10420937_10421925	Gm28510 (+8694), Gm20737 (+114611)
chrY_10422234_10422504	Gm28510 (+9632), Gm20737 (+113673)
chrY_10434438_10434744	Gm28510 (+21854), Gm20737 (+101451)
chrY_10479394_10479664	Gm20737 (+56513), Gm28510 (+66792)
chrY_10511371_10511696	Gm20737 (+24508), Gm28510 (+98797)
chrY_10519052_10519245	Gm20737 (+16893), Gm28510 (+106412)
chrY_10614702_10614963	Gm20737 (-78791), Gm20777 (+137617)

